[train: 2, 250 / 3750] FPS: 49.0 (49.8)  ,  DataTime: 0.013 (0.005)  ,  ForwardTime: 0.308  ,  TotalTime: 0.326  ,  Loss/total: 1.57178  ,  Loss/giou: 0.60358  ,  Loss/l1: 0.07292  ,  IoU: 0.45273
[train: 2, 300 / 3750] FPS: 49.2 (50.0)  ,  DataTime: 0.012 (0.005)  ,  ForwardTime: 0.308  ,  TotalTime: 0.326  ,  Loss/total: 1.56047  ,  Loss/giou: 0.59927  ,  Loss/l1: 0.07239  ,  IoU: 0.45151
[train: 2, 350 / 3750] FPS: 49.2 (49.9)  ,  DataTime: 0.011 (0.005)  ,  ForwardTime: 0.308  ,  TotalTime: 0.325  ,  Loss/total: 1.55189  ,  Loss/giou: 0.59700  ,  Loss/l1: 0.07158  ,  IoU: 0.45313
[train: 2, 400 / 3750] FPS: 49.3 (49.9)  ,  DataTime: 0.011 (0.005)  ,  ForwardTime: 0.308  ,  TotalTime: 0.324  ,  Loss/total: 1.55280  ,  Loss/giou: 0.59761  ,  Loss/l1: 0.07152  ,  IoU: 0.45573
[train: 2, 450 / 3750] FPS: 49.4 (49.9)  ,  DataTime: 0.010 (0.005)  ,  ForwardTime: 0.308  ,  TotalTime: 0.324  ,  Loss/total: 1.54347  ,  Loss/giou: 0.59428  ,  Loss/l1: 0.07098  ,  IoU: 0.45603
[train: 2, 500 / 3750] FPS: 49.4 (50.2)  ,  DataTime: 0.010 (0.005)  ,  ForwardTime: 0.308  ,  TotalTime: 0.324  ,  Loss/total: 1.55138  ,  Loss/giou: 0.59793  ,  Loss/l1: 0.07110  ,  IoU: 0.45501
[train: 2, 550 / 3750] FPS: 49.5 (50.1)  ,  DataTime: 0.010 (0.005)  ,  ForwardTime: 0.308  ,  TotalTime: 0.323  ,  Loss/total: 1.54745  ,  Loss/giou: 0.59721  ,  Loss/l1: 0.07061  ,  IoU: 0.45680
[train: 2, 600 / 3750] FPS: 49.5 (49.7)  ,  DataTime: 0.010 (0.005)  ,  ForwardTime: 0.308  ,  TotalTime: 0.323  ,  Loss/total: 1.55445  ,  Loss/giou: 0.59950  ,  Loss/l1: 0.07109  ,  IoU: 0.45501
[train: 2, 650 / 3750] FPS: 49.6 (50.6)  ,  DataTime: 0.010 (0.005)  ,  ForwardTime: 0.308  ,  TotalTime: 0.323  ,  Loss/total: 1.55687  ,  Loss/giou: 0.60100  ,  Loss/l1: 0.07098  ,  IoU: 0.45501
[train: 2, 700 / 3750] FPS: 49.6 (49.8)  ,  DataTime: 0.009 (0.005)  ,  ForwardTime: 0.308  ,  TotalTime: 0.323  ,  Loss/total: 1.55154  ,  Loss/giou: 0.59926  ,  Loss/l1: 0.07060  ,  IoU: 0.45492
[train: 2, 750 / 3750] FPS: 49.6 (49.4)  ,  DataTime: 0.009 (0.005)  ,  ForwardTime: 0.308  ,  TotalTime: 0.322  ,  Loss/total: 1.54917  ,  Loss/giou: 0.59887  ,  Loss/l1: 0.07029  ,  IoU: 0.45570
[train: 2, 800 / 3750] FPS: 49.6 (50.3)  ,  DataTime: 0.009 (0.005)  ,  ForwardTime: 0.308  ,  TotalTime: 0.322  ,  Loss/total: 1.54462  ,  Loss/giou: 0.59687  ,  Loss/l1: 0.07018  ,  IoU: 0.45586
[train: 2, 850 / 3750] FPS: 49.7 (50.0)  ,  DataTime: 0.009 (0.005)  ,  ForwardTime: 0.308  ,  TotalTime: 0.322  ,  Loss/total: 1.54323  ,  Loss/giou: 0.59669  ,  Loss/l1: 0.06997  ,  IoU: 0.45653
[train: 2, 900 / 3750] FPS: 49.7 (50.2)  ,  DataTime: 0.009 (0.005)  ,  ForwardTime: 0.308  ,  TotalTime: 0.322  ,  Loss/total: 1.53979  ,  Loss/giou: 0.59519  ,  Loss/l1: 0.06988  ,  IoU: 0.45716
[train: 2, 950 / 3750] FPS: 49.7 (50.0)  ,  DataTime: 0.009 (0.005)  ,  ForwardTime: 0.308  ,  TotalTime: 0.322  ,  Loss/total: 1.53633  ,  Loss/giou: 0.59392  ,  Loss/l1: 0.06970  ,  IoU: 0.45737
[train: 2, 1000 / 3750] FPS: 49.7 (49.8)  ,  DataTime: 0.009 (0.005)  ,  ForwardTime: 0.308  ,  TotalTime: 0.322  ,  Loss/total: 1.53458  ,  Loss/giou: 0.59270  ,  Loss/l1: 0.06983  ,  IoU: 0.45633
[train: 2, 1050 / 3750] FPS: 49.7 (50.5)  ,  DataTime: 0.009 (0.005)  ,  ForwardTime: 0.308  ,  TotalTime: 0.322  ,  Loss/total: 1.53409  ,  Loss/giou: 0.59225  ,  Loss/l1: 0.06992  ,  IoU: 0.45517
